studentId,timeStamp,Project 1 Preference,Project 2 Preference,Project 3 Preference,Project 4 Preference,Project 5 Preference,Project 6 Preference,Project 7 Preference,Project 8 Preference,Project 9 Preference,Project 10 Preference
10000001,08/09/2024 16:31:14,4,1,7,2,6,3,5,10,8,9
10000002,08/09/2024 18:39:1,2,10,5,3,1,6,9,7,4,8
10000003,08/09/2024 17:35:47,7,5,8,2,3,9,10,1,6,4
10000004,08/09/2024 7:42:44,1,6,2,4,10,5,3,7,8,9
10000005,08/09/2024 16:3:47,1,8,2,6,7,5,4,10,3,9
10000006,08/09/2024 23:27:59,3,9,7,1,4,10,5,6,8,2
10000007,08/09/2024 19:12:27,3,8,5,1,10,9,7,2,4,6
10000008,08/09/2024 18:36:4,1,4,8,6,3,10,2,5,9,7
10000009,08/09/2024 23:26:28,5,10,3,6,1,4,9,8,2,7
10000010,08/09/2024 6:54:8,3,5,9,4,7,1,6,2,10,8
10000011,08/09/2024 17:54:1,3,9,4,7,5,6,8,1,2,10
10000012,08/09/2024 14:6:15,8,2,10,7,4,1,9,6,5,3
10000013,08/09/2024 19:32:12,6,5,1,10,3,7,2,8,9,4
10000014,08/09/2024 17:55:18,3,8,2,1,6,10,7,4,5,9
10000015,08/09/2024 10:27:57,2,9,3,8,10,5,1,6,7,4
10000016,08/09/2024 21:13:27,9,2,3,4,5,8,6,1,10,7
10000017,08/09/2024 14:3:28,8,4,9,10,1,2,5,3,7,6
10000018,08/09/2024 5:12:24,7,2,9,6,4,3,5,8,10,1
10000019,08/09/2024 19:24:56,3,5,7,2,6,4,1,8,10,9
10000020,08/09/2024 11:39:56,9,2,10,5,4,3,1,7,8,6
10000021,08/09/2024 2:28:36,8,6,10,2,4,7,9,5,1,3
10000022,08/09/2024 20:54:37,4,5,6,8,3,10,7,2,1,9
10000023,08/09/2024 18:26:46,9,8,7,4,5,6,10,2,1,3
10000024,08/09/2024 23:22:20,9,4,1,7,8,6,5,2,3,10
10000025,08/09/2024 5:30:29,5,3,2,9,4,1,8,7,6,10
10000026,08/09/2024 14:46:51,1,10,6,2,3,4,8,9,7,5
10000027,08/09/2024 19:11:41,8,6,4,9,7,2,3,5,10,1
10000028,08/09/2024 23:32:4,8,6,5,7,9,3,10,1,2,4
10000029,08/09/2024 11:8:25,9,4,2,6,5,3,8,7,10,1
10000030,08/09/2024 11:6:41,8,1,3,9,7,2,10,5,4,6
10000031,08/09/2024 19:14:35,6,10,9,3,2,4,7,5,8,1
10000032,08/09/2024 4:58:49,8,3,6,1,5,2,9,7,10,4
10000033,08/09/2024 18:27:35,8,7,3,2,4,10,9,1,6,5
10000034,08/09/2024 0:58:39,3,6,10,1,8,7,2,5,9,4
10000035,08/09/2024 0:55:12,2,9,8,4,7,10,1,6,3,5
10000036,08/09/2024 5:49:45,9,8,4,5,3,6,2,10,7,1
10000037,08/09/2024 16:58:32,2,3,7,5,6,1,9,10,4,8
10000038,08/09/2024 11:25:17,4,8,2,6,10,7,1,3,5,9
10000039,08/09/2024 8:33:52,2,9,6,4,3,10,1,5,8,7
10000040,08/09/2024 11:5:25,2,9,1,10,7,5,6,8,3,4
10000041,08/09/2024 12:5:7,8,1,4,2,7,6,10,5,9,3
10000042,08/09/2024 23:35:17,2,9,5,6,8,10,1,3,7,4
10000043,08/09/2024 9:26:23,5,9,7,6,10,1,8,2,3,4
10000044,08/09/2024 5:12:39,5,2,9,8,4,3,1,7,6,10
10000045,08/09/2024 15:28:34,9,2,5,3,1,7,8,10,6,4
10000046,08/09/2024 9:21:28,3,2,6,5,1,8,9,10,4,7
10000047,08/09/2024 0:20:4,7,4,10,8,3,5,2,6,9,1
10000048,08/09/2024 2:58:58,3,7,1,6,5,9,10,2,4,8
10000049,08/09/2024 2:55:47,8,5,9,7,4,10,1,2,3,6
10000050,08/09/2024 21:4:19,5,3,2,7,6,10,1,8,4,9
10000051,08/09/2024 0:33:25,8,10,1,2,6,9,4,7,5,3
10000052,08/09/2024 3:57:17,9,3,2,8,10,4,5,6,7,1
10000053,08/09/2024 20:54:48,6,1,9,7,10,3,8,5,2,4
10000054,08/09/2024 22:8:15,8,7,4,6,10,9,2,5,3,1
10000055,08/09/2024 19:11:39,10,4,5,7,2,8,6,9,1,3
10000056,08/09/2024 20:9:3,1,7,3,8,4,2,5,9,10,6
10000057,08/09/2024 18:53:58,2,8,5,1,6,4,3,10,7,9
10000058,08/09/2024 10:12:58,7,4,5,10,6,9,3,1,2,8
10000059,08/09/2024 20:19:14,3,9,1,2,6,7,10,5,4,8
10000060,08/09/2024 2:13:12,10,4,8,6,2,9,3,1,7,5
10000061,08/09/2024 17:37:21,7,10,6,5,1,2,3,9,4,8
10000062,08/09/2024 10:28:12,5,4,8,6,7,10,3,1,9,2
10000063,08/09/2024 9:56:20,1,6,3,10,2,9,7,5,4,8
10000064,08/09/2024 12:11:58,2,6,4,5,9,8,1,10,7,3
10000065,08/09/2024 15:54:14,10,9,3,4,6,2,8,7,5,1
10000066,08/09/2024 14:0:27,7,3,10,4,6,2,8,1,5,9
10000067,08/09/2024 19:21:59,5,2,7,4,10,8,6,9,1,3
10000068,08/09/2024 14:16:4,10,3,2,9,8,7,6,1,4,5
10000069,08/09/2024 2:17:52,6,1,2,10,8,9,4,3,7,5
10000070,08/09/2024 1:26:25,7,8,4,5,1,9,3,6,10,2
10000071,08/09/2024 7:57:46,9,3,7,2,8,1,5,6,10,4
10000072,08/09/2024 12:26:57,5,8,2,7,4,6,10,9,3,1
10000073,08/09/2024 1:47:54,7,1,5,4,3,8,10,9,6,2
10000074,08/09/2024 14:2:32,1,7,4,10,9,5,3,8,2,6
10000075,08/09/2024 7:47:0,10,5,1,2,6,3,8,9,4,7
10000076,08/09/2024 23:19:30,8,1,5,6,3,10,2,4,9,7
10000077,08/09/2024 12:26:17,3,1,5,2,10,8,6,9,7,4
10000078,08/09/2024 3:11:51,5,1,3,7,6,2,9,8,10,4
10000079,08/09/2024 16:15:16,2,1,6,4,3,8,9,5,7,10
10000080,08/09/2024 1:20:51,5,2,1,6,3,9,8,10,7,4
10000081,08/09/2024 4:50:37,10,1,3,7,6,9,2,5,4,8
10000082,08/09/2024 17:52:41,6,2,10,7,1,8,4,3,5,9
10000083,08/09/2024 17:9:12,3,2,10,9,6,8,5,4,1,7
10000084,08/09/2024 23:28:22,5,9,1,3,2,8,7,6,10,4
10000085,08/09/2024 11:32:53,8,4,7,5,1,2,9,6,10,3
10000086,08/09/2024 15:14:15,4,7,6,5,1,9,8,3,2,10
10000087,08/09/2024 8:49:46,5,8,6,3,10,4,1,9,7,2
10000088,08/09/2024 18:51:51,3,5,9,6,4,8,10,1,2,7
10000089,08/09/2024 3:15:48,9,5,2,1,7,6,10,4,8,3
10000090,08/09/2024 2:21:11,6,2,5,7,9,10,4,3,8,1
10000091,08/09/2024 20:16:31,7,8,2,9,1,10,5,4,6,3
10000092,08/09/2024 12:14:53,10,6,9,7,8,4,3,1,5,2
10000093,08/09/2024 4:15:27,3,2,7,10,8,5,4,9,6,1
10000094,08/09/2024 5:34:19,9,8,10,1,2,6,5,3,4,7
10000095,08/09/2024 3:18:33,9,5,1,3,6,10,4,2,7,8
10000096,08/09/2024 1:51:6,7,10,1,4,8,5,3,6,9,2
10000097,08/09/2024 14:54:8,10,8,9,4,5,7,2,3,1,6
10000098,08/09/2024 15:45:37,5,9,1,7,8,6,10,4,3,2
10000099,08/09/2024 0:22:12,4,7,8,1,6,3,2,10,9,5
10000100,08/09/2024 20:23:18,8,6,1,7,3,4,5,9,10,2
10000101,08/09/2024 1:29:38,5,2,7,10,8,1,6,3,9,4
10000102,08/09/2024 22:30:55,2,1,5,8,4,10,7,6,9,3
10000103,08/09/2024 14:52:7,7,4,3,8,6,9,2,10,1,5
10000104,08/09/2024 11:26:8,4,2,5,7,9,1,10,3,8,6
10000105,08/09/2024 9:16:18,8,4,7,6,3,9,10,2,5,1
10000106,08/09/2024 1:39:37,4,6,9,10,3,5,7,1,8,2
10000107,08/09/2024 21:17:24,4,6,5,10,2,9,3,8,1,7
10000108,08/09/2024 0:58:42,9,6,10,4,7,1,8,3,2,5
10000109,08/09/2024 2:2:35,6,1,8,5,3,2,4,9,7,10
10000110,08/09/2024 6:51:22,4,3,8,2,6,5,1,10,9,7
10000111,08/09/2024 1:28:12,10,7,5,3,4,2,1,6,8,9
10000112,08/09/2024 23:34:24,8,5,6,7,9,4,1,10,2,3
10000113,08/09/2024 12:23:11,6,7,3,8,9,2,1,10,5,4
10000114,08/09/2024 10:52:49,9,3,2,10,4,7,8,5,1,6
10000115,08/09/2024 21:52:9,3,8,5,2,4,6,1,9,7,10
10000116,08/09/2024 2:19:25,3,8,5,2,6,10,9,4,1,7
10000117,08/09/2024 14:55:19,5,9,7,1,10,4,6,2,3,8
10000118,08/09/2024 7:55:47,10,3,7,1,9,2,4,8,5,6
10000119,08/09/2024 4:25:45,5,3,6,2,8,7,9,4,10,1
10000120,08/09/2024 8:45:3,6,10,1,8,4,5,3,2,7,9
10000121,08/09/2024 2:50:33,8,10,6,4,3,9,7,5,1,2
10000122,08/09/2024 5:48:18,4,6,9,5,3,7,1,10,8,2
10000123,08/09/2024 2:52:54,6,10,5,7,1,9,8,2,4,3
10000124,08/09/2024 20:42:7,1,6,9,5,4,10,8,2,3,7
10000125,08/09/2024 15:47:3,2,5,7,1,4,9,8,6,10,3
10000126,08/09/2024 3:59:42,8,6,5,7,4,2,9,3,1,10
10000127,08/09/2024 10:16:53,9,7,8,10,2,3,4,6,5,1
10000128,08/09/2024 5:6:25,10,1,4,2,9,3,7,8,5,6
10000129,08/09/2024 16:35:36,6,5,2,7,9,10,8,4,3,1
10000130,08/09/2024 16:58:52,7,8,5,6,3,10,4,9,2,1
10000131,08/09/2024 10:21:36,10,6,7,2,1,8,3,9,5,4
10000132,08/09/2024 12:30:52,4,3,6,5,1,7,9,8,2,10
10000133,08/09/2024 23:49:13,2,4,3,5,9,8,10,7,6,1
10000134,08/09/2024 13:9:52,8,3,5,7,4,1,2,6,9,10
10000135,08/09/2024 19:23:7,2,1,10,4,6,3,7,9,5,8
10000136,08/09/2024 8:43:12,5,9,6,3,2,8,10,4,1,7
10000137,08/09/2024 4:52:33,6,1,10,4,2,5,8,7,3,9
10000138,08/09/2024 3:7:8,8,10,7,3,4,9,5,1,2,6
10000139,08/09/2024 13:55:46,5,2,7,4,10,9,6,3,1,8
10000140,08/09/2024 12:34:17,3,6,9,7,5,4,8,1,2,10
10000141,08/09/2024 17:5:22,1,6,9,5,2,10,3,8,4,7
10000142,08/09/2024 3:46:40,9,1,10,3,7,2,4,8,5,6
10000143,08/09/2024 7:19:38,3,10,8,2,1,9,4,5,6,7
10000144,08/09/2024 17:40:27,7,3,6,1,2,4,10,5,8,9
10000145,08/09/2024 22:1:10,6,10,8,9,4,5,3,7,2,1
10000146,08/09/2024 10:49:35,9,8,1,4,2,10,7,5,6,3
10000147,08/09/2024 13:36:33,9,8,2,7,3,4,1,6,5,10
10000148,08/09/2024 22:54:48,7,6,3,10,4,1,5,9,2,8
10000149,08/09/2024 9:33:52,9,5,1,2,4,8,10,7,3,6
10000150,08/09/2024 14:31:3,10,8,2,9,4,5,6,7,1,3
10000151,08/09/2024 9:0:55,8,3,1,4,9,10,5,6,2,7
10000152,08/09/2024 20:10:11,6,7,1,10,5,2,9,3,8,4
10000153,08/09/2024 17:16:36,2,10,1,4,7,9,5,6,8,3
10000154,08/09/2024 5:46:31,4,7,5,2,8,6,9,3,1,10
10000155,08/09/2024 17:55:26,1,8,3,2,10,6,9,7,4,5